folder,filename,filer,doctype,filing_date,description,source_url,bytes,onedrive_url
02_Earnings/releases,2024-11-06_CHRS_ER_Q3-2024.pdf,CHRS,EX-99.1,2024-11-06,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024014642/chrs-20241106xex99d1.htm,162410,
02_Earnings/releases,2025-01-13_CHRS_ER_Jan-Prelim-Guidance-2025.pdf,CHRS,EX-99.1,2025-01-13,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025000167/chrs-20250113xex99d1.htm,58531,
02_Earnings/releases,2025-03-10_CHRS_ER_FY-Results-2025.pdf,CHRS,EX-99.1,2025-03-10,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025002595/chrs-20250310xex99d1.htm,190016,
02_Earnings/releases,2025-05-12_CHRS_ER_Q1-2025.pdf,CHRS,EX-99.1,2025-05-12,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025007410/chrs-20250512xex99d1.htm,194915,
02_Earnings/releases,2025-08-07_CHRS_ER_Q2-2025.pdf,CHRS,EX-99.1,2025-08-07,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010802/chrs-20250807xex99d1.htm,194914,
02_Earnings/releases,2025-11-06_CHRS_ER_Q3-2025.pdf,CHRS,EX-99.1,2025-11-06,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465925107780/chrs-20251106xex99d1.htm,195016,
02_Earnings/releases,2026-01-13_CHRS_ER_Jan-Prelim-Guidance-2026.pdf,CHRS,EX-99.1,2026-01-13,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926003117/chrs-20260113xex99d1.htm,60480,
02_Earnings/releases,2026-03-09_CHRS_ER_FY-Results-2026.pdf,CHRS,EX-99.1,2026-03-09,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025293/chrs-20260309xex99d1.htm,195414,
02_Earnings/releases,2026-05-11_CHRS_ER_Q1-2026.pdf,CHRS,EX-99.1,2026-05-11,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058666/chrs-20260511xex99d1.htm,190846,
03_Credit_Docs,2020-04-17_CHRS_EX10-14_Capped-Call-Confirmation.pdf,CHRS,EX-10.14,2020-04-17,Capped Call Confirmation,https://www.sec.gov/Archives/edgar/data/1512762/000110465920048214/tm2015668d4_ex10-1.htm,294860,
03_Credit_Docs,2020-04-17_CHRS_EX4-4_Indenture-2020-Convertible-Notes.pdf,CHRS,EX-4.4,2020-04-17,Indenture 2020 Convertible Notes,https://www.sec.gov/Archives/edgar/data/1512762/000110465920048214/tm2015668d4_ex4-1.htm,726458,
03_Credit_Docs,2022-05-05_CHRS_EX4-6_Notice-of-Successor-Trustee.pdf,CHRS,EX-4.6,2022-05-05,Notice of Successor Trustee,https://www.sec.gov/Archives/edgar/data/1512762/000155837022007420/chrs-20220331xex4d5.htm,81661,
03_Credit_Docs,2024-05-21_CHRS_EX10-28_Loan-Agreement-2024-05-08.pdf,CHRS,EX-10.28,2024-05-21,Loan Agreement 2024 05 08,https://www.sec.gov/Archives/edgar/data/0001512762/000155837024008542/chrs-20240508xex10d1.htm,1095106,
03_Credit_Docs,2024-05-21_CHRS_EX10-29_Revenue-Participation-Right-PSA.pdf,CHRS,EX-10.29,2024-05-21,Revenue Participation Right PSA,https://www.sec.gov/Archives/edgar/data/0001512762/000155837024008542/chrs-20240508xex10d2.htm,485001,
03_Credit_Docs,2024-08-08_CHRS_EX10-31_Omnibus-Amendment-Transaction-Docs.pdf,CHRS,EX-10.31,2024-08-08,Omnibus Amendment Transaction Docs,https://www.sec.gov/Archives/edgar/data/0001512762/000155837024011629/chrs-20240630xex10d4.htm,168996,
03_Credit_Docs,2025-04-01_CHRS_EX4-7_First-Supplemental-Indenture-2025.pdf,CHRS,EX-4.7,2025-04-01,First Supplemental Indenture 2025,https://www.sec.gov/Archives/edgar/data/1512762/000155837025004264/chrs-20250331xex4d1.htm,123309,
04_BBDC,README.txt,CHRS,,,,,541,
05_Ratings,README.txt,CHRS,,,,,418,
06_IR_Materials,README.txt,CHRS,,,,,384,
